"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","transitions on fetch start","Full Flow State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","ORDER_SUBMITTED → ESIMS_FETCHING","",""
"","0","RESOLVED + SUCCESS → RESOLVED","eSIM Fetch Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","FETCHING + SUCCESS → RESOLVED","eSIM Fetch Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","rejects order with empty sims","order contract","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","3","propagates 422 Unprocessable Entity from createOrder","runAiraloOrderFlow","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","order creation errors — HTTP status codes","",""
"","0","REQUESTING + RETRY → REQUESTING","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","2","validates order fixture against schema","order contract","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","1","esim fixture has correct structure","esim contract","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","1","esim iccid matches fixture sim","esim contract","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","2","does not call fetchEsim until createOrder resolves","runAiraloOrderFlow","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","concurrent eSIM fetching","",""
"","1","FAILED does not transition","Full Flow State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","Terminal states","",""
"","1","tolerates unknown fields on individual SIM entries","backward compatibility — order","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","1","optional brand_settings_name absent is valid","backward compatibility — esim","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","0","transitions on auth failure","Full Flow State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","INIT → FAILED","",""
"","0","IDLE + ALL_ESIMS_FETCHED → IDLE","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","0","transitions to VALIDATION_FAILED when quantity <= 0","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","IDLE → CREATING","",""
"","1","sends Authorization: Bearer token header","createOrderService — submit","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","FormData request construction","",""
"","1","NO_TOKEN + FAILURE → NO_TOKEN","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","AUTH_FAILED resets to IDLE","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","Terminal states support RESET","",""
"","1","COMPLETE + RESET → IDLE","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","243","rejects order with expired/invalid token as 401","Live Airalo Partner API","Sat Mar 28 14:52:03 UTC 2026","passed","Sat Mar 28 14:52:03 UTC 2026","","Order submission — POST /orders","",""
"","1","attaches raw eSIM data","createEsimService — get","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","happy path","",""
"","0","EXPIRED + TTL_EXPIRED → EXPIRED","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","0","FAILED + AUTHENTICATE → FAILED","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","0","VALID_TOKEN + FAILURE → VALID_TOKEN","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","7","validates token fixture against schema","token contract","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","0","ERROR + FETCH → ERROR","eSIM Fetch Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","tolerates unknown fields on order data","backward compatibility — order","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","276","rejects invalid credentials with a parseable error response","live contract — POST /token","Sat Mar 28 14:52:10 UTC 2026","passed","Sat Mar 28 14:52:10 UTC 2026","","","",""
"","1","CREATED always has non-null orderId","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","context invariants","",""
"","1","tolerates unknown fields added by future API version","backward compatibility — token","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","1216","creates an order with the default package","Live Airalo Partner API","Sat Mar 28 14:52:01 UTC 2026","passed","Sat Mar 28 14:52:02 UTC 2026","","Order submission — POST /orders","",""
"","0","CREATED + RESET → CREATED","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","propagates 500 Internal Server Error from fetchEsim","runAiraloOrderFlow","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","eSIM fetch errors — HTTP status codes","",""
"","0","propagates 422 for malformed iccid","createEsimService — get","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","HTTP error propagation — EC-A3","",""
